ID,Father,Mother,Spouse,Xpos,Ypos,Sex,Ancestor,Title,Name,Surname,Birthdate,month,year,Deathdate,month,year,Image
1,2,3,4,0.1,0.1,1,0,0,Elizabeth II,Windsor,21,4,1925,0,0,0,0
2,48,51,3,0.1,0.1,0,0,0,George VI,Windsor,12,14,1895,6,2,1952,0
3,0,0,2,0.1,0.1,1,0,0,Elizabeth,Bowes-Lyon,4,8,1900,30,3,2002,0
4,0,0,1,0.1,0.1,0,0,0,Phillip,Mountbatten,10,6,1921,9,4,2021,0
5,1,4,6,0.1,0.1,0,0,0,Charles,Mountbatten-Windsor,14,11,1948,0,0,0,0
6,0,0,5,0.1,0.1,1,0,0,Diana,Spencer,1,7,1961,31,8,1997,0
7,2,3,8,0.1,0.1,1,0,0,Margaret,Windsor,21,8,1930,9,2,2002,0
8,0,0,7,0.1,0.1,0,0,0,Anthony,Armstrong-Jones,7,3,1930,13,1,2017,0
9,5,6,10,0.1,0.1,0,0,0,William,Mountbatten-Windsor,21,7,1982,0,0,0,0
10,0,0,9,0.1,0.1,1,0,0,Catherine,Middleton,1,9,1982,0,0,0,0
11,9,10,0,0.1,0.1,0,0,0,George,Louis,22,7,2013,0,0,0,0
12,9,10,0,0.1,0.1,1,0,0,Charlotte,Diana,2,5,2015,0,0,0,0
13,9,10,0,0.1,0.1,0,0,0,Louis,Charles,23,4,2018,0,0,0,0
14,5,6,15,0.1,0.1,0,0,0,Henry,David,15,9,1984,0,0,0,0
15,0,0,14,0.1,0.1,1,0,0,Meghan,Markle,4,8,1981,0,0,0,0
16,14,15,0,0.1,0.1,0,0,0,Archie,Mountbatten-Windsor,6,5,2019,0,0,0,0
17,14,15,0,0.1,0.1,1,0,0,Lillibet,Mountbatten-Windsor,4,6,2021,0,0,0,0
18,1,4,19,0.1,0.1,1,0,0,Anne,Mountbatten-Windsor,15,8,1950,0,0,0,0
19,0,0,18,0.1,0.1,0,0,0,Mark,Phillips,22,9,1948,0,0,0,0
20,18,19,21,0.1,0.1,0,0,0,Peter,Phillips,15,11,1977,0,0,0,0
21,0,0,20,0.1,0.1,1,0,0,Autumn,Kelly,3,5,1978,0,0,0,0
22,18,19,23,0.1,0.1,1,0,0,Zara,Tindall,15,5,1981,0,0,0,0
23,0,0,22,0.1,0.1,0,0,0,Micheal,Tindall,18,10,1978,0,0,0,0
24,20,21,0,0.1,0.1,1,0,0,Savannah,Phillips,0,0,2010,0,0,0,0
25,20,21,0,0.1,0.1,1,0,0,Isla,Phillips,0,0,2012,0,0,0,0
26,22,23,0,0.1,0.1,1,0,0,Mia,Tindall,0,0,2014,0,0,0,0
27,22,23,0,0.1,0.1,1,0,0,Lena,Tindall,0,0,2018,0,0,0,0
28,22,23,0,0.1,0.1,0,0,0,Lucas,Tindall,0,0,2021,0,0,0,0
29,1,4,30,0.1,0.1,0,0,0,Andrew,Mountbatten-Windsor,19,2,1960,0,0,0,0
30,0,0,29,0.1,0.1,1,0,0,Sarah,Ferguson,15,10,1959,0,0,0,0
31,29,30,32,0.1,0.1,1,0,0,Beatrice,Mozzi,8,8,1988,0,0,0,0
32,0,0,31,0.1,0.1,0,0,0,Edoardo,Mozzi,19,11,1983,0,0,0,0
33,29,30,34,0.1,0.1,1,0,0,Eugenie,Brooksbank,23,3,1990,0,0,0,0
34,0,0,33,0.1,0.1,0,0,0,Jack,Brooksbank,3,5,1986,0,0,0,0
35,33,34,0,0.1,0.1,0,0,0,August,Brooksbank,9,2,2021,0,0,0,0
36,1,4,37,0.1,0.1,0,0,0,Edward,Louis,10,3,1964,0,0,0,0
37,0,0,36,0.1,0.1,1,0,0,Sophie,Rhys-Jones,20,1,1965,0,0,0,0
38,36,37,0,0.1,0.1,1,0,0,Louise,Mountbatten-Windsor,8,11,2003,0,0,0,0
39,36,37,0,0.1,0.1,0,0,0,James,Mountbatten-Windsor,17,12,2007,0,0,0,0
40,7,8,41,0.1,0.1,0,0,0,David,Armstrong-Jones,3,11,1961,0,0,0,0
41,0,0,40,0.1,0.1,1,0,0,Serena,Stanhope,1,3,1970,0,0,0,0
42,40,41,0,0.1,0.1,0,0,0,Charles,Armstrong-Jones,1,7,1999,0,0,0,0
43,40,41,0,0.1,0.1,1,0,0,Margarita,Armstrong-Jones,14,5,2002,0,0,0,0
44,7,8,45,0.1,0.1,1,0,0,Sarah,Chatto,1,5,1964,0,0,0,0
